guid,full_name,parent_organization,category,description,eligibility_requirements,min_age,max_age,services_provided,keywords,website,program_email,full_address,intake_instructions,latitude,longitude,text_message_instructions,phone_label_1,phone_1,phone_1_ext,phone_label_2,phone_2,phone_2_ext,crisis_line_label,crisis_line_number,financial_information,languages_offered,building_description,ADA_accessibility_notes,transit_instructions,blog_link,twitter_link,facebook_link,youtube_link,instagram_link,covid_message,city,cost_keywords,agency_verified,date_agency_verified,image_url,office_entrance_image_url
116,Department of Family Services,,Family Life: General,"Provides applications for child care assistance, food assistance, rent and utility assistance.",,,,,,https://dfs.wyo.gov/,clint.hanes1@wyo.gov,"444 W Collins Suite 2100, Casper, WY 82601",,42.8578,-106.3303,,,307-473-3900,,,,,,,Free,,Thyra Thompson State Office Building,,,,,,,,,Casper,,,,,
117,Department of Family Services,,Basic Needs: Housing,"Can help qualifying families with supplemental nutrition assistance (SNAP), child support program, POWER program, child care expense assistance and more.",,,,,,https://dfs.wyo.gov/,clint.hanes1@wyo.gov,"444 W Collins Suite 2100, Casper, WY 82601",,42.8578,-106.3303,,,307-473-3900,,,,,,,Free,,Thyra Thompson State Office Building,,,,,,,,,Casper,,,,,
118,Dept of Vocational Rehab,,Education & Workforce: General,Provides services to people with disabilities to establish and reach vocational goals and help them gain employment.,,,,,,https://dws.wyo.gov/dws-division/vocational-rehabilitation/,,"444 W Collins Suite 1100, Casper, WY 82601",,42.8578,-106.3303,,,307-261-2172,,,,,,,,,Thyra Thompson State Building,,,,,,,,,Casper,,,,,
119,Digital Awareness Guide for Parents,,Technology: Digital Safety,Awareness guide for parents about cyberbullying and digital safety.,,,,,,https://www.stopbullying.gov/sites/default/files/documents/Cyberbullying%20Guide%20Final%20508.pdf,,"Casper, WY",,42.8666,-106.3131,,,,,,,,,,,,,,,,,,,,,Casper,,,,,
121,Equal Justice Wyoming Foundation,,Legal: General,"Provides online resources including legal forms, legal information, court information, finding a lawyer, tax prep and more.",,,,,,https://equaljustice.wy.gov/legal-help/,,"Casper, WY",,42.8666,-106.3131,,,1770832095,,,,,,,Free,,,ADA Services    Court Navigator Services    Volunteer as a Court Navigator    Court,,,,,,,,Casper,,,,,
124,Food By Choice Pantry,,Basic Needs: Food,Open Tuesdays and Thursdays 9:00am - 11:45am.,,,,,,https://casper.salvationarmy.org/,turnie.wright@usw.salvationarmy.org,"441 S Center Street, Casper, WY 82601",,42.8472,-106.3254,,,307-234-2002,,,,,,,Free,,The Salvation Army Casper Corps Hope Center,,,,http://www.twitter.com/IMSalArmy,https://www.facebook.com/SalvationArmyUSA,http://www.youtube.com/SalvationArmyUSA,http://www.instagram.com/salvationarmyus,,Casper,,,,,
126,Gear Up,,Education & Workforce: General,"Gaining Early Awareness and Readiness for Undergraduate Programs — GEAR UP, for short — is a statewide program that serves 2,000 seventh through 12th grade students every year. Wyoming’s seven community colleges provide services to these students and encourage them to not only complete high school, but to enter and succeed at a post secondary institution.",,,,,,https://www.caspercollege.edu/gearup/,,"125 College Dr, Strausner Hall Room 221, Casper, WY 82601",,42.8550,-106.3460,,,307-268-2047,,,,,,,free,,,,,,https://twitter.com/caspercollege,https://www.facebook.com/CasperCollege/,https://www.youtube.com/user/ccnewmedia,https://www.instagram.com/caspercollegegearup/,,Casper,,,,,
127,Girl Scouts,,Belonging & Connection: Recreational,"Girl Scouts participate in a variety of activities including field trips, community service, STEM, entrepreneurship, and outdoor activities.",,,,,,https://www.gsmw.org/,,"1011 Bonnie Brae Street, Casper, WY 82601",get started,42.8548,-106.3120,,,4195403448,,,,,,,,more,Girl Scout House,"ada 
                         New Hampshire 
                         New Jersey",,,,https://www.facebook.com/tr?id=2007548956166877&ev=PageView,https://www.youtube.com/user/girlscoutvideos,https://www.instagram.com/p/DVwAU7MjREz/,,Casper,,,,,
128,Goodwill Skills to Succeed,,Disability: Intellectual,"Offers the Skills to Succeed Academy, Day Habilitation, Community Living, Individual Habilitation, Respite Care, Personal Care, Companion Services, and Independent Living.",,,,,,https://www.goodwillwy.org/,,"2655 East 3rd St, Casper, WY 82609",,42.8482,-106.2898,,,307-315-6324,,,,,,,,,,,,,,,,,,Casper,,,,,
129,Goodwill Wyoming,,Basic Needs: Clothing,Thrift store with low cost clothing.,,,,,,https://www.goodwillwy.org/,,"2655 East 3rd St, Casper, WY 82609",,42.8482,-106.2898,,,307-315-6324,,,,,,,,,,,,,,,,,,Casper,,,,,
130,Grace Bible Baptist Church Food Pantry,,Basic Needs: Food,Open Monday - Friday 8:00am - 5:00pm.,,,,,Faith-Based,,,"405 South Park St, Casper, WY 82601",,42.8476,-106.3274,,,307-265-1339,,,,,,,,,,,,,,,,,,Casper,,,,,
114,David Street Station,,Belonging & Connection: Third Spaces,"David Street Station is a 501c3 nonprofit organization that is nestled in the heart of downtown Casper Wyoming. Our mission is to strengthen our community and its visitors by offering a vibrant gathering place that hosts a wide variety of events and activities. Our support comes from our community through donations, sponsorships, grants and in-kind donations of time and expertise. David Street Station is a space built for connection, creativit...",,,,,Free,https://davidstreetstation.com/,,"200 S David St, Casper, WY 82601",,42.8490,-106.3248,,,6816711221,,,,,,,free,,,,,,,https://www.facebook.com/davidstreetstation,,https://www.instagram.com/davidstreetstation/,,Casper,,,,,
125,Free and Reduced-Price Meals (NCSD),,Basic Needs: Food,The Natrona County School District participates in the National School Lunch and Breakfast Program which provides free and reduced-price meals to students who qualify.,,,,,Free,https://www.natronaschools.org/,,"Casper, WY",,42.8666,-106.3131,,,307-253-5205,,,,,,,,"Documents,Practicum,Student Teaching,etc",,"ADA/EEO/Title IX)  
 
 
 
     
 Edlio   Login 
    
 Powered by Edlio",,,https://twitter.com/natronaschools?lang=en,https://www.facebook.com/natronaschools/,https://www.youtube.com/user/NatronaCountySD1,https://www.instagram.com/natronaschools/,,Casper,,,,,
107,Crisis Stabilization Unit - CWCC,,Emergency Services: General,"Provides service to individuals experiencing intense psychiatric or behavioral health crises including withdrawal management, mobile crisis response, and the 988 suicide and crisis lifeline.",,,,,Crisis,https://cwcc.us/crisis-resources/,hosting@thebarkfirm.com,"1430 Wilkins Circle, Casper, WY 82601","APPOINTMENT 
						 
					 
					 
						    CALL 307-237-9583",42.8653176,-106.3416615,,,307-337-8842,,,,,,,Insurance,"in calm,supervised,non-hospital settings",Central Wyoming Counseling Center,,,,,https://www.facebook.com/tr?id=260823243714686&ev=PageView&noscript=1,,https://www.instagram.com/centralwyocc/,,Casper,,,,,
106,Court Navigator,,Violence & Justice: General,Walk ins during in person hours at the courthouse on Wednesdays 8:30am-12:00pm. Online meetings also available.,,,,,Walk-In,https://www.courts.state.wy.us/court-services/court-navigator/schedule-a-meeting/,,"115 North Center Street, Casper, WY 82601",,42.8510,-106.3256,,,1770832095,,,,,,,Free,,Townsend Justice Center,ADA Services    Court Navigator Services    Volunteer as a Court Navigator    Court,,,,,,,,Casper,,,,,
110,CWCC (Justice),,Violence & Justice: General,"Central Wyoming Counseling Center’s compassionate clinicians and support staff are dedicated to bringing hope, healing, and recovery to the people we serve.",,,,,Crisis,https://cwcc.us/,hosting@thebarkfirm.com,"1430 Wilkins Circle, Casper, WY 82601","APPOINTMENT  
								 
								 
									Telehealth available for most outpatient services",42.8653176,-106.3416615,,,307-237-9583,,,,,,,Insurance,for most outpatient services,,,,,,https://www.facebook.com/tr?id=260823243714686&ev=PageView&noscript=1,,https://www.instagram.com/centralwyocc/,,Casper,,,,,
109,CWCC (Healthcare),,Healthcare: General,"Early intervention services, wrap around services, substance use treatment, crisis stabilization unit, detox unit, counseling services, medication management.",,,,,"Crisis,Substance Use",https://cwcc.us/,hosting@thebarkfirm.com,"1430 Wilkins Circle, Casper, WY 82601","APPOINTMENT  
								 
								 
									Telehealth available for most outpatient services",42.8653176,-106.3416615,,,307-237-9583,,,,,,,Insurance,for most outpatient services,,,,,,https://www.facebook.com/tr?id=260823243714686&ev=PageView&noscript=1,,https://www.instagram.com/centralwyocc/,,Casper,,,,,
131,Habitat for Humanity,,Basic Needs: Housing,"Driven by the vision that everyone needs a decent place to live, Habitat for Humanity, The Heart of Wyoming, a nonprofit affordable housing organization, brings people together to build homes, communities, and hope. People partner with Habitat for Humanity to build a place they can call home. Habitat homeowners help build their own homes alongside volunteers and pay an affordable mortgage.",,,,,,https://www.heartofwyoming.org/,,"232 E 2nd St #204, Casper, WY 82601",,42.8496,-106.3242,,,307-234-1348,,,,,,,,"English,Spanish",,,,,,https://www.facebook.com/habitatcasperwyoming,https://youtu.be/aEapHWJRtLo?feature=shared,https://www.instagram.com/habitatcasperwyoming/,,Casper,,,,,
134,Helping Hands Food Pantry,,Basic Needs: Food,"The Food Pantry offers a wide variety of shelf stable food items, meat, dairy, and fresh fruits/vegetables each week. Sometimes, we also have personal care, baby items, household products, and pet food. Resources are distributed free of charge based on family size and availability of food that week.",,,,,,https://radiuschurch.life/programs/food-pantry,contact@radiuschurch.life,"4301 Casper Mountain Road, Casper, WY 82601",,42.8100,-106.3260,,,307-265-9121,,,,,,,free,"to do haircuts for a donation,which supports the pantry",Radius Church,,,,,https://www.facebook.com/RadiusChurch.life,https://www.youtube.com/c/radiuschurchlife,https://www.instagram.com/radiuschurch.life/,,Casper,,,,,
138,Impact Wyoming & Youth Council,,Belonging & Connection: Leadership,"We believe meaningful youth engagement creates a sense of belonging and is achieved through diversity, equity, and inclusion; these core values guide our work in creating space for our youth to have a voice in their community. Impact Wyoming strives to continually enable Wyoming’s youth to develop their potential, advocate for themselves and others, and bring their whole self to their communities, and to the world.",,,,,,https://impactwyoming.org/,,"Casper, WY",,42.8666,-106.3131,,,307-277-4782,,,,,,,,,,,,,,https://www.facebook.com/ImpactWyoming.org,,https://www.instagram.com/impactwyoming/,,Casper,,,,,
139,Independent Opportunities LLC,,Disability: Intellectual,CARF accredited adult day center supporting people with intellectual disabilities.,,,,,,,,"111 S Jefferson Street Suite 100, Casper, WY 82601",,42.8497,-106.3270,,,307-265-2014,,,,,,,,,,,,,,,,,,Casper,,,,,
141,"I-REACH 2, Inc",,Disability: Intellectual,"Day to day life experiences, increased independence, progressive supports for adults with developmental disabilities and brain injuries.",,,,,,https://www.ireach2.com/,someone@website.com,"351 Lennox St, Casper, WY 82601",,42.8560,-106.3450,,,307-265-8086,,,,,,,,in this program,,,,,,https://www.facebook.com/ireach2lifestyles/,https://www.youtube.com/channel/UCHNqB_B7aDG1R8-iDT1BNVw,,,Casper,,,,,
144,Juvenile Detention Center,,Violence & Justice: General,"Located in Casper, WY, the RJDC provides secure detention services for pre and post adjudicated juveniles from throughout north central Wyoming.",,,,,,https://www.cornerstoneprograms.com/wyoming,,"1120 Bruce Lane, Casper, WY 82601",,42.8450,-106.3370,,,307-235-9324,,,,,,,,,,,,,,http://www.facebook.com/2008/fbml,,,,Casper,,,,,
145,Kelly Walsh High School Clubs,,Belonging & Connection: School Clubs,"Clubs and activities committed to providing learning opportunities and support academic success, personal fulfillment, and greater academic achievement.",,,,,,https://kellywalsh.org/activities.html,john_sheaff@natronaschools.org,"3500 E 12th St, Casper, WY 82609",,42.8380,-106.2850,,,307-253-2159,,,,,,,,Honor Society encourages,,,,,https://twitter.com/kellywalshband,https://www.facebook.com/KellyWalshHS,https://www.youtube.com/channel/UCNO7EmzdgFeTBt3N5zEX69A,https://instagram.com/kellywalshhs?igshid=1hk7cphhdfyrl,,Casper,,,,,
146,Kid Care CHIP,,Healthcare: General,"Provides affordable health coverage including check-ups, dentist visits, vision care, prescriptions and more.",,,,,,https://health.wyo.gov/healthcarefin/chip/,,"Casper, WY",,42.8666,-106.3131,,,855-294-2127,,,,,,,,,,,,,,,,,,Casper,,,,,
149,Legal Aid of Wyoming,,Legal: General,"Legal Aid of Wyoming, Inc., is required to notify that our funds may not be used in any manner inconsistent with the Legal Services Corporation Act or Section 504 of Public Law 104-134. The LSC Act and regulations may be reviewed at: www.lsc.gov.",,,,,,https://www.lawyoming.org/,joseph@buildupllc.net,"159 N Wolcott St Ste 100, Casper, WY 82601",,42.8510,-106.3248,,,1-877-432-9955,,,,,,,free,,Ohio Oil Building,,,,,https://www.facebook.com/lawyoming/,,,,Casper,,,,,
151,LINK City Bus,,Transportation: General,Provides public transit throughout Casper.,,,,,,,,"1715 East 4th Street, Casper, WY 82601",,42.8483,-106.2995,,,307-235-8287,,,,,,,,,Casper Area Transit,,,,,,,,,Casper,,,,,
153,McKinney-Vento Coordinator (NCSD),,Basic Needs: Housing,"For families living in a shelter, motel, campground, car, park, abandoned building, or doubled up with others due to loss of housing. School aged children may qualify for rights and protections under the federal McKinney-Vento Act.",,,,,,,,"920 S Beverly St, Casper, WY 82609",,42.8395,-106.3228,,,307-253-3185,,,,,,,,,Student Support Services,,,,,,,,,Casper,,,,,
155,Mercer Family Resource Center (Resiliency),,Resiliency Building: General,Anger Management is a course for teens 12-18. This program uses the curriculum Responding in Peaceful and Positive Ways. This program is designed to enable your teen to recognize the underlying emotions/triggers and replace anger with healthy coping skills.,,,,,,https://mercercasper.com/youth-classes,mercer@mercercasper.com,"535 W Yellowstone Highway, Casper, WY 82601","intake paperwork
     
    

   




      

 
    Anger Management for Teens Coping, Resiliency, &amp; Growth",42.8473725,-106.3304308,,,307-265-7366,,,,,,,free,modern,Mercer Family Resource Center,accessible to anyone in the community!,,,,http://www.facebook.com/2008/fbml,,http://instagram.com/mercerfrc1971,,Casper,,,,,
136,Holy Cross Food Bank,,Basic Needs: Food,Open Monday - Friday 10:00am - 4:00pm.,,,,,Faith-Based,,,"1030 North Lincoln Street, Casper, WY 82601",,42.8570,-106.3180,,,307-577-1041,,,,,,,,,Holy Cross Center,,,,,,,,,Casper,,,,,
143,Joshuas Storehouse,,Basic Needs: Food,Open Tuesday - Friday 10:00am - 2:00pm.,,,,,Faith-Based,https://www.joshuasstorehouse.org/,,"334 South Wolcott Street, Casper, WY 82601",,42.8470,-106.3242,,,307-265-0242,,,,,,,,,,,,,,,,,,Casper,,,,,
152,Manna Closet,,Basic Needs: Food,Open Thursdays 1:00pm - 4:00pm.,,,,,Faith-Based,,,"2020 S Jefferson St, Casper, WY 82601",,42.8328,-106.3275,,,307-234-9601,,,,,,,,,Casper First Church of Nazarene,,,,,,,,,Casper,,,,,
140,Interfaith of Natrona County,,Basic Needs: Clothing,"Provide items related to personal care such as clothing, toiletries, laundry, and work related specialized footwear.",,,,,Faith-Based,https://interfaithnc.org/,%20admin@interfaithnc.org,"919 N Durbin, Casper, WY 82601","appointments, minor medical costs and prescriptions, and rent or utility assistance when funding allows",42.8563,-106.3225,,,307-235-8043,,,,,,,insurance,,,,,,,https://www.facebook.com/interfaithofnatronacounty,,,,Casper,,,,,
142,Job Corps,,Education & Workforce: General,Provides free career training and education for low-income 16-24 year old individuals.,,,,,Free,https://windriver.jobcorps.gov/,,"4200 Airport Road, Riverton, WY 82501",Get Started,43.0611,-108.3807,,,307-857-9700,,,,,,,Free,"English,Spanish",,,,,https://twitter.com/doljobcorps,https://www.facebook.com/doljobcorps,https://www.youtube.com/doljobcorps,https://www.instagram.com/doljobcorps/,,Riverton,,,,,
147,Kinship Connections of Wyoming,,Family Life: General,"Kinship Connections of Wyoming is a free service to grandparents, relatives and other caregivers who are raising children that are not their own.",,,,,Free,https://kcowyo.org/,,"Casper, WY",Get Started                  Providing assistance with navigating suport and services  We are here to help         Navigator servic,42.8666,-106.3131,,,307-287-4645,,,,,,,free service,"to answer questions,give guidance",,,,https://www.kcowyo.org/blog/,,https://www.facebook.com/kinshipconnectionsofwy,,https://www.instagram.com/kinshipconnectionsofwy/,,Casper,,,,,
150,LGBT National Hotline,,LGBTQ+: General,National support hotline for the LGBTQ community.,,,,,LGBTQ-Friendly,,,"Casper, WY",,42.8666,-106.3131,,,1-888-843-4564,,,,,,,,,,,,,,,,,,Casper,,,,,
132,Healthcare for the Homeless,,Healthcare: General,A federally qualified health center that provides primary medical care and mental health services to individuals and families who are homeless or at-risk of homelessness.,,,,,Homeless Services,https://hch.capnc.org/,,"1514 East 12th Street #201, Casper, WY 82601",,42.8392,-106.3025,,,307-235-6116,,,,,,,,,Life Steps Campus,,,,,,,,,Casper,,,,,
154,Mercer Family Resource Center (Family),,Family Life: General,"Adult drug and alcohol education, child in need of supervision case management, family and parenting programs, youth classes, mental health first aid, youth empowerment council.",,,,,Substance Use,https://mercercasper.com/,mercer@mercercasper.com,"535 W Yellowstone Hwy #100, Casper, WY 82601",,42.8473725,-106.3304308,,,307-265-7366,,,,,,,,,Mercer Family Resources,accessible to anyone in the community!,,,,http://www.facebook.com/2008/fbml,"https://www.youtube.com/watch?v=HwKoUD-ThkE&quot;,&quot;width&quot;:854,&quot;height&quot;:480,&quot;providerName&quot;:&quot;YouTube&quot;,&quot;thumbnailUrl&quot;:&quot;https://i.ytimg.com/vi/HwKoUD-ThkE/hqdefault.jpg&quot;,&quot;resolvedBy&quot;:&quot;youtube&quot;&#125;",http://instagram.com/mercerfrc1971,,Casper,,,,,
137,Home Access & Accents,,Disability: Equipment,"This is an example of a WordPress page, you could edit this to put information about yourself or your site so readers know where you are coming from. You can create as many pages like this one or sub-pages as...Read More",,,,,"Free,Walk-In",https://wyohomeaccess.com/,,"Casper, WY","walk in tubs, and home accessability consulting",42.8666,-106.3131,,,307-315-6035,,,,,,,free,,,"wheelchair ramps, barrier free showers, walk in tubs, and home accessability consulting",transition with you,,https://twitter.com/your-username,https://facebook.com/your-username,,https://instagram.com/your-username,,Casper,,,,,
157,Midwest School Activities,,Belonging & Connection: School Clubs,Provides clubs and activities to students at Midwest School.,,,,,,,,"256 Lewis St, Midwest, WY 82643",,43.4175,-106.2770,,,307-253-3500,,,,,,,,,,,,,,,,,,Midwest,,,,,
160,Natrona County High School Clubs,,Belonging & Connection: School Clubs,Provides clubs and activities to students at Natrona County High School.,,,,,,https://www.natronacountyhs.org/clubs.html,,"930 S Elm St, Casper, WY 82601",,42.8393,-106.3196,,,307-253-1700,,,,,,,free,,,,,,,https://www.facebook.com/casperffa.chapter/,,,,Casper,,,,,
161,Natrona County Library,,Belonging & Connection: Third Spaces,"Resources and activities for teens (grades 7-12) including teens-only book clubs, after school activities, homework help, creative opportunities, games, and a special area in the Library where no adults or kids are allowed - only teens!",,,,,,https://www.natronacountylibrary.org/teens/,,"307 E 2nd St, Casper, WY 82601",,42.8499,-106.3230,,,307-577-7323,,,,,,,free,,,,,https://www.natronacountylibrary.org/enewsletter/,https://x.com/natronalibrary,https://www.facebook.com/natronalibrary,https://www.youtube.com/channel/UCZKhJzicn5OuElA6sLDZOfA,https://www.instagram.com/natronalibrary/,,Casper,,,,,
162,Natrona County Sheriffs Office,,Emergency Services: General,Provides emergency law enforcement services.,,,,,,,,"201 N David St #2, Casper, WY 82601",,42.8510,-106.3250,,,307-235-9282,,,,,,911,,,Hall of Justice,,,,,,,,,Casper,,,,,
163,NCSD Athletics and Activities,,Belonging & Connection: General,"Information about districtwide activities, athletics, elementary after school program, athletic handbooks, safety protocols.",,,,,,https://ncsdathletics.com,,"970 North Glenn Rd, Casper, WY 82601",,42.8613,-106.2904,,,307-253-5462,,,,,,,Insurance,,NCSD Administration Building,,,,,,,,,Casper,,,,,
164,NCSD Nursing Health Services,,Healthcare: General,District-wide nursing and health services available to students through the school district.,,,,,,,,"Casper, WY",,42.8666,-106.3131,,,,,,,,,,,,,,,,,,,,,Casper,,,,,
165,NCSD Student Support (Legal),,Legal: General,"Contact point for DFS abuse/neglect, police investigations, expulsion, serious discipline, school resource officers.",,,,,,,,"920 S Beverly St, Casper, WY 82609",,42.8395,-106.3228,,,307-253-3151,,,,,,,,,Student Support Services,,,,,,,,,Casper,,,,,
167,NCSD Student Support Services,,Family Life: General,"Handles DFS abuse/neglect, police investigations, YCC liaison, expulsion, serious discipline, injury or death of a student, school resource officers, home school.",,,,,,,,"920 S Beverly St, Casper, WY 82609",,42.8395,-106.3228,,,307-253-3151,,,,,,,,,Student Support Services,,,,,,,,,Casper,,,,,
168,NOWCAP Services,,Disability: Intellectual,"Provides Wyoming Waiver support for individuals with intellectual disabilities, developmental disabilities, or acquired brain injuries. Provides subsidized supported housing through HUD.",,,,,,https://www.nowcapservices.org/,kcornella@nowcapservices.org,"345 N Walsh Drive, Casper, WY 82609",appointment,42.8530,-106.2850,,,307-237-9146,,,,,,,insurance,,,,,https://schema.org/Blog,,https://www.facebook.com/nowcapservices,https://www.youtube.com/@NOWCAPServices,,,Casper,,,,,
169,Oasis Food and Clothing Pantry,,Basic Needs: Food,Open Thursdays 10:00am - 4:00pm.,,,,,,https://www.collegeheightscasper.org/oasis-food-pantry,,"1927 S Walnut Street, Casper, WY 82604",,42.8320,-106.3370,,,307-224-4104,,,,,,,no cost,,College Heights Baptist Church,,,,,https://www.facebook.com/collegeheightscasper,https://www.youtube.com/@CollegeHeightsBaptistChurch,https://www.instagram.com/collegeheightscasper/,,Casper,,,,,
170,Olivia Caldwell Foundation,,Healthcare: General,"Pediatric specialty clinic. Specialists in gastroenterology, endocrinology, pulmonology, cardiology, and neurology. Also provides family support in patient advocacy and mental health.",,,,,,https://www.oliviacaldwellfoundation.org/,,"419 S Washington Street #201, Casper, WY 82601","Appointment
		 
	 
	
 
 
	 
		 
			Sponsor a Pediatric Clinic
		 
	 
	
 
 
	 
		 
			Share Your Clinic Story",42.8470,-106.3263,,,307-333-1273,,,,,,,,,McMurry Medical Arts Center,,,,,https://www.facebook.com/OliviaCaldwellFoundation,,https://www.instagram.com/oliviacaldwellfoundation/,,Casper,,,,,
171,Parents Helping Parents,,Disability: General,"Providing advocacy and resources to families with children with disabilities. Can assist with information about special education, disabilities or other local services. Support for Individualized Education Program (IEP).",,,,,,https://wpic.org/about,phpinfo@wpic.org,"2232 Dell Range Blvd Suite 204, Cheyenne, WY 82009",,41.1426,-104.7906,,,307-684-2277,,,,,,,,"English,Spanish",Parent Information Center,,,,,https://www.facebook.com/133441908871,,https://www.instagram.com/parent_information_center/,,Cheyenne,,,,,
172,Parents Helping Parents (Legal),,Legal: General,Providing advocacy and resources to families with children with disabilities. Support for Individualized Education Program (IEP).,,,,,,https://wpic.org/about,phpinfo@wpic.org,"2232 Dell Range Blvd Suite 204, Cheyenne, WY 82009",,41.1426,-104.7906,,,307-684-2277,,,,,,,,"English,Spanish",Parent Information Center,,,,,https://www.facebook.com/133441908871,,https://www.instagram.com/parent_information_center/,,Cheyenne,,,,,
173,Pathways Innovation Center,,Education & Workforce: General,"Offers courses of study including college-preparatory curriculum, industry certifications, portfolio development, and internships.",,,,,,,,"3000 Independence Ct, Casper, WY 82604",,42.8340,-106.3535,,,307-253-1451,,,,,,,,,,,,,,,,,,Casper,,,,,
175,Poverty Resistance Food Pantry,,Basic Needs: Food,"Are you in need of food assistance? Poverty Resistance in Casper, WY is a no-questions-asked food pantry open Monday-Saturday. They also assist with voter registration, and advocate for a variety of different topics, including Medical Cannabis, Medicaid Expansion, Pro Choice and more.",,,,,,https://www.povertyresistance.org/,mbudenske@aol.com,"450 S Wolcott Ct, Casper, WY 82601",how to access food through our program,42.8468,-106.3245,,,307-441-7469,,,,,,,Medicaid,,,,,https://www.povertyresistance.org/blog-feed.xml,,https://www.facebook.com/povertyresistance/,,,,Casper,,,,,
176,Project Kenny,,Disability: General,Unravel the origins and impact of Project Kenny through the stories of our volunteers and veterans.,,,,,,https://www.projectkenny.org/,,"6508 Westland Rd, Casper, WY 82604",,42.8230,-106.3560,,,1000766635,,,,,,,,,,,,,,https://www.facebook.com/people/DREAM-Dog-Grooming/100076663522709/,https://youtu.be/cBo9Q23Lj3M,https://www.instagram.com/projectkennyorg,,Casper,,,,,
179,Ride United - 211,,Transportation: General,"Choose the method that best works for you. When you call, a friendly voice will be ready to answer.",,,,,,https://wyoming211.org,,"Casper, WY",,42.8666,-106.3131,,,211,,,,,,,,,,,,https://wyoming211.org/blog/,,https://www.facebook.com/WY211,,https://www.instagram.com/wyoming211/?hl=en,,Casper,,,,,
177,Restoration Church Food Pantry,,Basic Needs: Food,"We are a family on a mission to see hearts healed, lives restored, and people empowered to bring heaven to earth. And we do that through loving and serving both God and the people around us.",,,,,Faith-Based,https://www.restchurch.com/,,"411 S Walsh Drive, Casper, WY 82609",,42.8460,-106.2830,,,307-235-9100,,,,,,,free,,Restoration Church,,,,,https://www.facebook.com/restchurch,https://www.youtube.com/user/RestChurchWY/featured,,,Casper,,,,,
178,ReThink App,,Technology: Digital Safety,"ReThink is a non-intrusive, innovative, patented software product that effectively stops cyberbullying before the damage is done. The world is currently in the midst of a technology revolution. With more adolescents being online, more are getting cyberbullied. Cyberbullied victims suffer from depression, anxiety, low self-esteem, and more likely to drop out of school. ReThink is the first ever solution to proactively prevent cyberbullying befo...",,,,,Free,https://www.rethinkwords.com/whatisrethink,contact@rethinkwords.com,"Casper, WY",,42.8666,-106.3131,,,8667873148,,,,,,,free. no cost,"for free,in both the iOS App Store,the Google Play Store",,,,,https://twitter.com/rethinkwords,https://www.facebook.com/rethinkwords,https://www.youtube.com/embed/MImyLXYszX8?disablekb=1&end=107&rel=0,https://www.instagram.com/rethinkwords/,,Casper,,,,,
166,NCSD Student Support (LGBTQ+),,LGBTQ+: General,Contact point for various student support issues in the district.,,,,,LGBTQ-Friendly,,,"920 S Beverly St, Casper, WY 82609",,42.8395,-106.3228,,,307-253-3151,,,,,,,,,,,,,,,,,,Casper,,,,,
174,PFLAG Casper,,LGBTQ+: General,Support organization for LGBTQ individuals and their families.,,,,,LGBTQ-Friendly,https://pflag.org/chapter/casper/,,"Casper, WY",,42.8666,-106.3131,,,307-439-6533,,,,,,,,,,,,,,,,,,Casper,,,,,
159,National Domestic Violence Hotline,,Emergency Services: General,A national hotline for those currently experiencing domestic violence.,,,,,Domestic Violence,https://www.thehotline.org/,,"Casper, WY",,42.8666,-106.3131,,,1-800-799-7233,,,,,,,,,,,,,,,,,,Casper,,,,,
156,Mercer (Violence Prevention),,Violence & Justice: General,Anger Management is a course for teens 12-18. This program uses the curriculum Responding in Peaceful and Positive Ways. This program is designed to enable your teen to recognize the underlying emotions/triggers and replace anger with healthy coping skills.,,,,,Substance Use,https://mercercasper.com/youth-classes,mercer@mercercasper.com,"535 W Yellowstone Highway, Casper, WY 82601","intake paperwork
     
    

   




      

 
    Anger Management for Teens Coping, Resiliency, &amp; Growth",42.8473725,-106.3304308,,,307-265-7366,,,,,,,free,modern,,accessible to anyone in the community!,,,,http://www.facebook.com/2008/fbml,,http://instagram.com/mercerfrc1971,,Casper,,,,,
181,Safe2Tell (Digital Safety),,Technology: Digital Safety,"The website offers educational information for students on suicide, cyberbullying, drinking, sexting, etc. Parent education also provided.",,,,,,https://www.safe2tellwy.org/,safe2tellwyoming@wyo.gov,"Casper, WY",,42.8666,-106.3131,,,888-996-7233,,,,,,,free,24/7: 1,,,,https://www.safe2tellwy.org/blog-feed.xml,https://twitter.com/Safe2TellWy_org,https://www.facebook.com/Safe2TellWY,https://www.youtube.com/watch?v=ymlT3nDc910&amp;feature=youtu.be,https://www.instagram.com/safe2tellwyoming/,,Casper,,,,,
182,Safe2Tell Wyoming,,Emergency Services: General,Statewide tip line that allows all Wyoming students and community members to report school safety concerns confidentially.,,,,,,https://www.safe2tellwy.org/,safe2tellwyoming@wyo.gov,"Casper, WY",,42.8666,-106.3131,,,844-996-7233,,,,,,,free,24/7: 1,,,,https://www.safe2tellwy.org/blog-feed.xml,https://twitter.com/Safe2TellWy_org,https://www.facebook.com/Safe2TellWY,https://www.youtube.com/watch?v=ymlT3nDc910&amp;feature=youtu.be,https://www.instagram.com/safe2tellwyoming/,,Casper,,,,,
